run_id,party_victory,rounds_taken,side,name,init_total,init_order,damage_dealt_total,damage_taken_total,hits_landed,crits_landed,opening_burst_triggered,hunters_mark_cast,hunters_mark_bonus_damage
1,1,4,monsters,Bugbear,8,7,0,27,0,0,0,0,0
1,1,4,monsters,Goblin_1,16,3,0,13,0,0,0,0,0
1,1,4,monsters,Goblin_2,10,6,8,7,1,0,0,0,0
1,1,4,monsters,Goblin_3,22,1,16,13,3,0,0,0,0
1,1,4,monsters,Goblin_4,5,8,16,8,3,0,0,0,0
1,1,4,party,Fighter,14,5,20,0,3,0,0,0,0
1,1,4,party,Ranger,19,2,32,19,4,0,0,1,2
1,1,4,party,Rogue,14,4,16,21,1,0,1,0,0
2,1,8,monsters,Bugbear,8,7,9,34,1,0,0,0,0
2,1,8,monsters,Goblin_1,15,5,0,10,0,0,0,0,0
2,1,8,monsters,Goblin_2,19,3,18,7,3,0,0,0,0
2,1,8,monsters,Goblin_3,22,1,8,10,1,0,0,0,0
2,1,8,monsters,Goblin_4,13,6,21,8,4,0,0,0,0
2,1,8,party,Fighter,20,2,39,6,4,1,0,0,0
2,1,8,party,Ranger,16,4,30,25,3,0,0,1,3
2,1,8,party,Rogue,6,8,0,25,0,0,0,0,0
3,1,6,monsters,Bugbear,19,4,9,28,1,0,0,0,0
3,1,6,monsters,Goblin_1,20,2,8,17,1,1,0,0,0
3,1,6,monsters,Goblin_2,19,5,12,10,3,0,0,0,0
3,1,6,monsters,Goblin_3,12,6,10,15,2,0,0,0,0
3,1,6,monsters,Goblin_4,11,7,7,8,2,0,0,0,0
3,1,6,party,Fighter,20,3,38,0,4,0,0,0,0
3,1,6,party,Ranger,22,1,40,22,4,0,0,1,6
3,1,6,party,Rogue,10,8,0,24,0,0,0,0,0
4,0,6,monsters,Bugbear,17,1,32,41,2,1,0,0,0
4,0,6,monsters,Goblin_1,5,8,12,10,1,1,0,0,0
4,0,6,monsters,Goblin_2,16,3,21,0,4,1,0,0,0
4,0,6,monsters,Goblin_3,11,5,9,0,2,0,0,0,0
4,0,6,monsters,Goblin_4,6,7,18,0,2,1,0,0,0
4,0,6,party,Fighter,8,6,15,31,3,1,0,0,0
4,0,6,party,Ranger,12,4,25,37,2,0,0,1,7
4,0,6,party,Rogue,16,2,11,24,1,1,0,0,0
5,1,7,monsters,Bugbear,17,3,24,29,2,0,0,0,0
5,1,7,monsters,Goblin_1,5,7,0,13,0,0,0,0,0
5,1,7,monsters,Goblin_2,16,4,11,8,2,0,0,0,0
5,1,7,monsters,Goblin_3,8,6,4,7,1,0,0,0,0
5,1,7,monsters,Goblin_4,9,5,19,13,3,0,0,0,0
5,1,7,party,Fighter,17,2,44,7,6,1,0,0,0
5,1,7,party,Ranger,20,1,22,27,3,0,0,1,5
5,1,7,party,Rogue,4,8,4,24,1,0,0,0,0
6,1,5,monsters,Bugbear,7,8,0,39,0,0,0,0,0
6,1,5,monsters,Goblin_1,20,1,11,7,2,0,0,0,0
6,1,5,monsters,Goblin_2,18,2,17,10,2,1,0,0,0
6,1,5,monsters,Goblin_3,13,5,0,11,0,0,0,0,0
6,1,5,monsters,Goblin_4,14,4,0,14,0,0,0,0,0
6,1,5,party,Fighter,18,3,42,0,5,1,0,0,0
6,1,5,party,Ranger,10,7,23,0,2,0,0,1,2
6,1,5,party,Rogue,12,6,16,28,1,0,1,0,0
7,1,7,monsters,Bugbear,7,5,0,40,0,0,0,0,0
7,1,7,monsters,Goblin_1,5,6,3,11,1,0,0,0,0
7,1,7,monsters,Goblin_2,14,3,0,10,0,0,0,0,0
7,1,7,monsters,Goblin_3,4,8,9,7,2,0,0,0,0
7,1,7,monsters,Goblin_4,18,1,18,14,3,0,0,0,0
7,1,7,party,Fighter,15,2,24,0,3,0,0,0,0
7,1,7,party,Ranger,4,7,42,7,4,0,0,1,6
7,1,7,party,Rogue,10,4,16,23,1,0,1,0,0
8,1,7,monsters,Bugbear,10,7,0,29,0,0,0,0,0
8,1,7,monsters,Goblin_1,13,6,0,9,0,0,0,0,0
8,1,7,monsters,Goblin_2,3,8,6,13,1,0,0,0,0
8,1,7,monsters,Goblin_3,19,2,4,13,1,0,0,0,0
8,1,7,monsters,Goblin_4,16,3,16,21,3,0,0,0,0
8,1,7,party,Fighter,22,1,26,0,3,1,0,0,0
8,1,7,party,Ranger,15,4,33,0,3,1,0,1,7
8,1,7,party,Rogue,14,5,26,26,3,0,1,0,0
9,1,8,monsters,Bugbear,6,7,7,31,1,0,0,0,0
9,1,8,monsters,Goblin_1,20,1,20,7,4,0,0,0,0
9,1,8,monsters,Goblin_2,17,4,3,9,1,0,0,0,0
9,1,8,monsters,Goblin_3,20,2,10,11,2,0,0,0,0
9,1,8,monsters,Goblin_4,20,3,24,17,4,1,0,0,0
9,1,8,party,Fighter,6,6,54,13,5,1,0,0,0
9,1,8,party,Ranger,13,5,21,27,2,0,0,1,3
9,1,8,party,Rogue,4,8,0,24,0,0,0,0,0
10,0,7,monsters,Bugbear,13,2,14,31,2,0,0,0,0
10,0,7,monsters,Goblin_1,15,1,21,0,4,1,0,0,0
10,0,7,monsters,Goblin_2,6,8,18,0,3,1,0,0,0
10,0,7,monsters,Goblin_3,11,4,20,0,3,1,0,0,0
10,0,7,monsters,Goblin_4,9,6,11,0,2,0,0,0,0
10,0,7,party,Fighter,13,3,21,35,3,0,0,0,0
10,0,7,party,Ranger,10,5,0,27,0,0,0,1,0
10,0,7,party,Rogue,8,7,10,22,2,0,0,0,0
11,1,5,monsters,Bugbear,10,4,13,32,1,0,0,0,0
11,1,5,monsters,Goblin_1,5,6,9,9,2,0,0,0,0
11,1,5,monsters,Goblin_2,10,5,8,7,1,0,0,0,0
11,1,5,monsters,Goblin_3,4,7,14,11,2,0,0,0,0
11,1,5,monsters,Goblin_4,20,1,4,13,1,0,0,0,0
11,1,5,party,Fighter,3,8,40,0,4,0,0,0,0
11,1,5,party,Ranger,16,2,19,23,3,0,0,1,3
11,1,5,party,Rogue,12,3,13,25,2,0,1,0,0
12,0,8,monsters,Bugbear,9,5,0,30,0,0,0,0,0
12,0,8,monsters,Goblin_1,4,8,19,10,3,0,0,0,0
12,0,8,monsters,Goblin_2,22,1,13,10,3,0,0,0,0
12,0,8,monsters,Goblin_3,9,6,25,0,4,1,0,0,0
12,0,8,monsters,Goblin_4,12,4,24,0,3,1,0,0,0
12,0,8,party,Fighter,17,3,30,30,3,1,0,0,0
12,0,8,party,Ranger,19,2,20,30,2,0,0,1,9
12,0,8,party,Rogue,6,7,0,21,0,0,0,0,0
13,0,5,monsters,Bugbear,7,8,26,25,2,0,0,0,0
13,0,5,monsters,Goblin_1,19,3,7,0,1,0,0,0,0
13,0,5,monsters,Goblin_2,19,5,19,0,3,1,0,0,0
13,0,5,monsters,Goblin_3,20,2,15,0,2,0,0,0,0
13,0,5,monsters,Goblin_4,19,4,12,0,2,0,0,0,0
13,0,5,party,Fighter,13,6,4,31,1,0,0,0,0
13,0,5,party,Ranger,9,7,7,25,1,0,0,1,2
13,0,5,party,Rogue,20,1,14,23,1,0,1,0,0
14,0,6,monsters,Bugbear,9,8,15,31,2,0,0,0,0
14,0,6,monsters,Goblin_1,10,6,15,4,2,0,0,0,0
14,0,6,monsters,Goblin_2,9,7,11,0,3,0,0,0,0
14,0,6,monsters,Goblin_3,18,3,22,0,4,0,0,0,0
14,0,6,monsters,Goblin_4,20,2,18,0,4,0,0,0,0
14,0,6,party,Fighter,16,4,9,28,2,0,0,0,0
14,0,6,party,Ranger,14,5,26,26,2,0,0,1,7
14,0,6,party,Rogue,22,1,0,27,0,0,0,0,0
15,1,6,monsters,Bugbear,20,1,0,27,0,0,0,0,0
15,1,6,monsters,Goblin_1,7,7,0,13,0,0,0,0,0
15,1,6,monsters,Goblin_2,12,5,0,14,0,0,0,0,0
15,1,6,monsters,Goblin_3,15,2,9,14,2,0,0,0,0
15,1,6,monsters,Goblin_4,4,8,9,11,2,0,0,0,0
15,1,6,party,Fighter,7,6,20,0,3,0,0,0,0
15,1,6,party,Ranger,12,4,32,0,3,2,0,1,8
15,1,6,party,Rogue,14,3,27,18,3,0,0,0,0
16,1,6,monsters,Bugbear,6,6,0,31,0,0,0,0,0
16,1,6,monsters,Goblin_1,3,8,6,17,1,0,0,0,0
16,1,6,monsters,Goblin_2,17,1,19,14,3,2,0,0,0
16,1,6,monsters,Goblin_3,3,7,21,18,3,0,0,0,0
16,1,6,monsters,Goblin_4,11,4,11,8,2,0,0,0,0
16,1,6,party,Fighter,10,5,22,0,3,0,0,0,0
16,1,6,party,Ranger,15,2,42,29,3,1,0,1,4
16,1,6,party,Rogue,12,3,24,28,2,1,1,0,0
17,0,12,monsters,Bugbear,20,3,9,31,1,0,0,0,0
17,0,12,monsters,Goblin_1,11,6,15,7,3,0,0,0,0
17,0,12,monsters,Goblin_2,12,5,4,7,1,0,0,0,0
17,0,12,monsters,Goblin_3,4,7,18,14,3,1,0,0,0
17,0,12,monsters,Goblin_4,21,2,33,0,6,1,0,0,0
17,0,12,party,Fighter,3,8,31,29,4,0,0,0,0
17,0,12,party,Ranger,22,1,17,25,2,0,0,1,3
17,0,12,party,Rogue,19,4,11,25,1,0,0,0,0
18,0,5,monsters,Bugbear,8,7,25,32,2,0,0,0,0
18,0,5,monsters,Goblin_1,14,6,18,0,4,0,0,0,0
18,0,5,monsters,Goblin_2,14,5,8,0,2,0,0,0,0
18,0,5,monsters,Goblin_3,19,1,20,0,3,0,0,0,0
18,0,5,monsters,Goblin_4,16,4,18,0,3,0,0,0,0
18,0,5,party,Fighter,17,3,32,31,4,1,0,0,0
18,0,5,party,Ranger,17,2,0,27,0,0,0,1,0
18,0,5,party,Rogue,7,8,0,31,0,0,0,0,0
19,0,12,monsters,Bugbear,22,1,11,37,1,0,0,0,0
19,0,12,monsters,Goblin_1,7,8,0,15,0,0,0,0,0
19,0,12,monsters,Goblin_2,19,2,21,12,4,0,0,0,0
19,0,12,monsters,Goblin_3,12,5,25,4,4,1,0,0,0
19,0,12,monsters,Goblin_4,10,6,30,0,5,2,0,0,0
19,0,12,party,Fighter,13,4,32,37,5,0,0,0,0
19,0,12,party,Ranger,7,7,22,26,2,0,0,1,5
19,0,12,party,Rogue,14,3,14,24,1,1,0,0,0
20,0,5,monsters,Bugbear,22,1,28,19,3,0,0,0,0
20,0,5,monsters,Goblin_1,9,5,9,0,1,1,0,0,0
20,0,5,monsters,Goblin_2,19,2,28,0,4,0,0,0,0
20,0,5,monsters,Goblin_3,11,4,8,0,2,0,0,0,0
20,0,5,monsters,Goblin_4,8,6,5,0,1,0,0,0,0
20,0,5,party,Fighter,12,3,10,31,1,0,0,0,0
20,0,5,party,Ranger,5,8,9,25,1,0,0,1,4
20,0,5,party,Rogue,5,7,0,22,0,0,0,0,0
21,0,3,monsters,Bugbear,12,4,25,22,2,0,0,0,0
21,0,3,monsters,Goblin_1,21,1,19,0,3,0,0,0,0
21,0,3,monsters,Goblin_2,10,5,13,0,2,1,0,0,0
21,0,3,monsters,Goblin_3,4,8,14,0,2,0,0,0,0
21,0,3,monsters,Goblin_4,4,7,7,0,1,0,0,0,0
21,0,3,party,Fighter,9,6,6,30,1,0,0,0,0
21,0,3,party,Ranger,15,3,6,26,1,0,0,1,2
21,0,3,party,Rogue,17,2,10,22,1,0,1,0,0
22,0,6,monsters,Bugbear,12,6,20,13,2,0,0,0,0
22,0,6,monsters,Goblin_1,14,4,13,0,3,0,0,0,0
22,0,6,monsters,Goblin_2,6,8,12,0,2,0,0,0,0
